Texas,Burnet County,42762,43216,43377,43580,43954,44734,45817,46600,47344,48155,100,101.0616903,101.4381928,101.9129133,102.7875216,104.611571,107.1441934,108.9752584,110.7151209,112.6116646,Burnet County
Texas,Caldwell County,38127,38470,38682,39201,39703,40419,41147,42328,43161,43664,100,100.8996249,101.4556613,102.8169014,104.1335536,106.0114879,107.920896,111.0184384,113.2032418,114.5225169,Caldwell County
Texas,Calhoun County,21313,21359,21575,21729,21812,21887,21948,21712,21504,21290,100,100.2158307,101.2292967,101.9518604,102.341294,102.6931919,102.9794022,101.8720968,100.8961667,99.89208464,Calhoun County
Texas,Callahan County,13512,13511,13488,13502,13505,13589,13789,13968,13990,13943,100,99.99259917,99.82238011,99.92599171,99.9481942,100.5698638,102.0500296,103.374778,103.5375962,103.1897573,Callahan County
Texas,Cameron County,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163,100,101.3666806,102.0231583,102.3862326,102.7905208,102.8996884,103.3657974,103.5809435,103.5593553,103.8105635,Cameron County
Texas,Camp County,12398,12422,12487,12462,12657,12699,12771,12845,12983,13094,100,100.1935796,100.7178577,100.5162123,102.0890466,102.4278109,103.0085498,103.6054202,104.718503,105.6138087,Camp County
Texas,Carson County,6162,6238,6089,5988,6036,6013,6096,6005,6007,5926,100,101.2333658,98.8153197,97.17624148,97.95520935,97.58195391,98.92891918,97.45212593,97.48458293,96.17007465,Carson County
Texas,Cass County,30457,30281,30031,30237,30123,30140,30058,29966,30106,30026,100,99.42213613,98.60130676,99.27767016,98.90337197,98.95918836,98.68995633,98.38789113,98.84755557,98.58489017,Cass County
Texas,Castro County,8126,8094,8262,8120,7927,7787,7765,7696,7588,7530,100,99.60620231,101.6736402,99.92616293,97.55107064,95.82820576,95.55746985,94.70834359,93.3792764,92.66551809,Castro County
Texas,Chambers County,35456,35699,36508,37367,38296,39028,40163,41269,42227,43837,100,100.6853565,102.9670578,105.3897789,108.0099278,110.0744585,113.2756092,116.3949684,119.0969088,123.6377482,Chambers County
Texas,Cherokee County,50941,51090,51277,51093,51189,51568,51879,52116,52381,52646,100,100.2924952,100.6595866,100.2983844,100.4868377,101.2308357,101.8413459,102.30659,102.8267996,103.3470093,Cherokee County
Texas,Childress County,7070,7027,7100,7055,7196,7169,7204,7269,7315,7306,100,99.39179632,100.4243281,99.78783593,101.7821782,101.4002829,101.8953324,102.81471,103.4653465,103.3380481,Childress County
